trayectoria,S_T
773,775.629
774,1260.79
775,1058.39
776,1261.09
777,761.694
778,873.34
779,1022.47
780,880.244
781,1001.62
782,1073.9
783,1093.33
784,1085.63
785,869.858
786,1039.7
787,1398.85
788,1013.5
789,852.128
790,1156.79
791,1275.85
792,1450.86
793,838.402
794,883.802
795,1024.54
796,1217.99
797,692.288
798,773.721
799,706.375
800,816.457
801,683.964
802,697.162
803,1067.97
804,1419.76
805,979.585
806,924.116
807,1200.15
808,937.806
809,1029.3
810,1356.53
811,925.693
812,1233.63
813,934.541
814,1176.13
815,983.345
816,1044.38
817,998.701
818,928.246
819,559.945
820,1394.58
821,929.549
822,1035.88
823,886.021
824,817.763
825,992.401
826,914.955
827,1118.23
828,1095.71
829,951.658
830,1104.23
831,1205.56
832,1143.34
833,1055.71
834,858.143
835,1075.84
836,1243.06
837,904.921
838,1391.75
839,1520.52
840,1202.28
841,1112.17
842,1032.16
843,832.091
844,972.407
845,1026.7
846,1026.38
847,1068.43
848,952.577
849,1576.17
850,1133.71
851,878.326
852,1178.81
853,1325.46
854,833.453
855,965.655
856,1182.51
857,791.652
858,767.95
859,704.588
860,956.849
861,751.874
862,956.248
863,1319.38
864,1013.47
865,1038.69
866,1199.37
867,1076.9
868,1553.11
869,1124.39
870,878
871,952.931
872,1323.33
873,1042.58
874,1106.74
875,1118.72
876,988.524
877,1062.35
878,669.974
879,1183.65
880,1098.36
881,1205.91
882,1103.53
883,1066.32
884,815.384
885,985.201
886,665.084
887,1016.33
888,1258.37
889,1022.62
890,1174.32
891,784.783
892,1092.7
893,950.835
894,1131.89
895,1237
896,902.384
897,687.509
898,1361.54
899,942.106
900,1243.58
901,847.088
902,1008.61
903,811.785
904,992.953
905,1432.48
906,1344.34
907,1149.58
908,801.068
909,741.962
910,1146.21
911,883.742
912,1046.72
913,763.015
914,863.445
915,1102.3
916,853.688
917,917.946
918,1035.87
919,979.982
920,923.093
921,1037.09
922,1101.71
923,1496.51
924,1192.91
925,1057.7
926,753.678
927,956.126
928,1314.66
929,738.552
930,911.519
931,819.696
932,1096.7
933,1093.51
934,1348.66
935,1044.55
936,949.333
937,748.19
938,985.822
939,1026.97
940,1353.02
941,1388.81
942,1227.38
943,1642.73
944,1114.25
945,929.884
946,692.718
947,1101.76
948,876.016
949,1755.02
950,1082.8
951,770.095
952,1152.65
953,1190.33
954,1018.89
955,1319.74
956,887.588
957,1621.07
958,1092.61
959,1068.46
960,1002.86
961,1369.27
962,956.242
963,868.223
964,1090.22
965,1223.88
966,855.085
967,1391.84
968,1204.44
969,1289.59
970,1097.72
971,775.929
972,1087.49
973,1138.22
974,1046.08
975,1035.83
976,757.984
977,1106.84
978,1103.38
979,1089.7
980,2180.96
981,846.409
982,790.477
983,1014.98
984,1019.99
985,1151.86
986,929.559
987,958.318
988,775.87
989,924.413
990,1264.88
991,808.966
992,1004.12
993,1085.51
994,1067.93
995,961.871
996,1100.67
997,1210.16
998,1164.56
999,1054.71
1000,998.846
1001,1627.57
1002,1750.61
1003,1161.81
1004,895.556
1005,1461.25
1006,928.407
1007,899.257
1008,959.527
1009,1094.68
1010,950.185
1011,868.827
1012,1153.65
1013,1219.84
1014,1104.53
1015,1400.61
1016,663.719
1017,830.25
1018,1022.38
1019,767.049
1020,879.167
1021,717.547
1022,1217.99
1023,877.369
1024,732.496
1025,872.385
1026,1601.11
1027,1307.51
1028,918.803
1029,810.025
1030,862.176
1031,1388.24
1032,974.357
1033,1299.66
1034,1127.19
1035,872.83
1036,744.41
1037,867.684
1038,1169.24
1039,1136.93
1040,1023.59
1041,1011.39
1042,1453.06
1043,1628.39
1044,932.198
1045,1003.42
1046,995.961
1047,1625.57
1048,1494.41
1049,778.824
1050,834.709
1051,809.785
1052,965.042
1053,1058.57
1054,1300.29
1055,913.649
1056,656.333
1057,1606.21
1058,810.976
1059,1180.01
1060,1098.4
1061,888.159
1062,1466.01
1063,1107.82
1064,1133.59
1065,1016.17
1066,1408.91
1067,1503.5
1068,1171.89
1069,960.453
1070,908.113
1071,1121.91
1072,891.506
1073,1040.33
1074,767.247
1075,992.8
1076,1082.96
1077,918.283
1078,1001.51
1079,839.345
1080,1326.72
1081,956.46
1082,1446.68
1083,1007.44
1084,737.117
1085,1083.52
1086,990.155
1087,835.47
1088,1099.16
1089,1064.82
1090,1051.22
1091,1248.61
1092,1082.86
1093,1164.34
1094,861.889
1095,854.956
1096,827.804
1097,695.258
1098,886.402
1099,901.544
1100,933.074
1101,883.746
1102,1564.66
1103,1373.92
1104,1135.52
1105,982.308
1106,982.66
1107,792.087
1108,839.405
1109,1022.92
1110,1012.52
1111,1324.88
1112,1234.97
1113,1271
1114,997.568
1115,813.612
1116,945.096
1117,730.613
1118,935.356
1119,1154.9
1120,1062.8
1121,1461.82
1122,873.554
1123,1365.56
1124,925.221
1125,1531.52
1126,962.024
1127,803.927
1128,983.423
1129,1054.35
1130,1125.34
1131,1177.29
1132,1233.26
1133,1092.33
1134,807.353
1135,1326.28
1136,689.129
1137,967.557
1138,798.686
1139,1305.04
1140,1141.18
1141,1041.67
1142,799.192
1143,828.5
1144,789.841
1145,930.749
1146,929.91
1147,1092.39
1148,948.2
1149,635.869
1150,1065.6
1151,1297.17
1152,1206.1
1153,991.723
1154,893.899
1155,1154.16
1156,1144.86
1157,1093.08
1158,1040.07
1159,821.595
1160,715.138
1161,1378.02
1162,880.981
1163,1029.3
1164,1193.36
1165,1289.17
1166,966.478
1167,1277.67
1168,1035.11
1169,1236.76
1170,1027.75
1171,755.833
1172,757.658
1173,951.966
1174,994.249
1175,1416.62
1176,1014.79
1177,1133.67
1178,999.82
1179,937.585
1180,1287.6
1181,1235.24
1182,1135.63
1183,1294.71
1184,1191.89
1185,916.998
1186,851.554
1187,849.729
1188,1003.69
1189,854.429
1190,1118.17
1191,957.517
1192,913.853
1193,1011.87
1194,1180.82
1195,780.679
1196,1059.24
1197,1054.33
1198,1225.01
1199,810.641
1200,1080.45
1201,1062
1202,882.464
1203,956.836
1204,1025.06
1205,1514.51
1206,941.72
1207,888.437
1208,828.954
1209,1189.71
1210,1334.46
1211,1258.34
1212,982.573
1213,1206.15
1214,907.438
1215,720.329
1216,1050.66
1217,805.556
1218,943.347
1219,1147.43
1220,1212.97
1221,944.276
1222,931.803
1223,925.282
1224,867.96
1225,734.011
1226,837.772
1227,1227.12
1228,835.023
1229,643.103
1230,843.759
1231,1023.04
1232,977.805
1233,1035.32
1234,920.99
1235,659.014
1236,1055.95
1237,952.992
1238,1241.33
1239,617.224
1240,1272.63
1241,1043.43
1242,1545.11
1243,1265.82
1244,939.581
1245,855.157
1246,824.619
1247,1209.87
1248,992.055
1249,1126.52
1250,1536.7
1251,676.246
1252,1144
1253,1015.46
1254,773.466
1255,733.956
1256,1378.87
1257,1243.43
1258,981.788
1259,1249.76
1260,705.391
1261,801.543
1262,1154.49
1263,848.964
1264,1319.96
1265,1196.93
1266,991.306
1267,944.233
1268,971.006
1269,727.043
1270,1059.46
1271,1150.33
1272,644.83
1273,1278.41
1274,1215.88
1275,980.997
1276,1308.91
1277,886.824
1278,861.508
1279,919.17
1280,781.562
1281,1048.85
1282,1101.34
1283,1148.04
1284,805.485
1285,1056.34
1286,780.329
1287,1008.45
1288,1037.46
1289,1231.21
1290,1011.8
1291,934.142
1292,827.89
1293,690.392
1294,1145.74
1295,1039.18
1296,982.423
1297,1074.18
1298,1201.86
1299,958.859
1300,1486.09
1301,1012.27
1302,1245.8
1303,1487.29
1304,1480.33
1305,871.644
1306,981.798
1307,1056.84
1308,1060.95
1309,907.069
1310,818.717
1311,1337.19
1312,1310.29
1313,1292.16
1314,647.698
1315,886.803
